Id,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging),Enrollment_Status__c
a02f400000iSnBEAA0,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2979.0,Q
a02f400000iSnBDAA0,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2978.0,F
a02f400000KbGdeAAF,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2977.0,W
a02f4000006n74HAAQ,2017-08-16,2019-05-24,2019-11-18,Graduated,Associate's,NSC,ASSOCIATE IN ARTS,ECONOMICS,2976.0,Q
a02f400000EtAIGAA3,2017-08-21,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3454.0,
a02f400000PaNNFAA3,2019-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3626.0,W
a02f400000PaNNGAA3,2020-01-27,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3625.0,H
a02f400000BlhyhAAB,2018-09-24,2019-06-28,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3624.0,H
a02f4000006n6fcAAA,2017-08-28,2019-05-24,2019-11-18,Transferred out,Bachelor's,NSC,,,1127.0,L
a02f400000Bli0VAAR,2018-06-11,2018-08-02,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1126.0,L
a02f400000iSn8kAAC,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,2058.0,H
a02f4000006n7KhAAI,2017-09-25,2017-09-26,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,511.0,F
a02f4000006n7KgAAI,2016-08-24,2017-05-16,2019-11-18,Withdrew,Bachelor's,NSC,,,510.0,F
a02f4000006n6g3AAA,2016-08-17,2019-12-20,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,AMERICAN STUDIES BA,3381.0,Q
a02f400000PaNPXAA3,2020-01-06,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1804.0,F
a02f4000006n6iQAAQ,2017-01-09,2017-04-26,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1803.0,F
a02f4000006n6iPAAQ,2015-08-31,2016-05-20,2019-11-18,Withdrew,Bachelor's,NSC,,,1802.0,W
a02f4000006n7MyAAI,2018-01-22,,2019-11-18,Attending,Bachelor's,NSC,,,720.0,F
a02f4000006n7EFAAY,2017-08-23,2018-05-14,2019-11-18,Transferred out,Bachelor's,NSC,,,319.0,H
a02f400000iSnAQAA0,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,318.0,L
a02f400000Bli3uAAB,2018-08-15,2018-12-13,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,317.0,Q
a02f400000Bli3vAAB,2018-09-24,2018-12-14,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,316.0,F
a02f400000iSnGxAAK,2020-05-11,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,528.0,F
a02f400000G1i5oAAB,2019-02-04,2019-09-26,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,527.0,L
a02f4000006n6teAAA,2017-08-28,2017-12-15,2019-11-18,Withdrew,Bachelor's,NSC,,,525.0,F
a02f400000BlhzJAAR,2018-08-27,2018-12-14,2019-11-18,Transferred out,Bachelor's,NSC,,,526.0,W
a02f400000iSnF8AAK,2020-08-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4206.0,W
a02f400000BlhypAAB,2018-09-24,2019-05-09,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,936.0,H
a02f4000006n6vdAAA,2016-08-22,2017-05-19,2019-11-18,Transferred out,Bachelor's,NSC,,,934.0,H
a02f4000006n6kOAAQ,2015-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,3218.0,W
a02f400000PaNNyAAN,2020-01-13,2020-01-26,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3217.0,H
a02f4000006n7AWAAY,2015-09-24,2019-12-13,2019-11-18,Graduated,Certificate,NSC,CERTIFICATE IN,GEOGRAPHIC INFORMATION SCIENCE,1537.0,W
a02f400000PaNQjAAN,2020-01-13,2020-04-19,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3461.0,W
a02f4000006n6p0AAA,2015-09-14,2016-06-11,2019-11-18,Withdrew,Bachelor's,NSC,,,3459.0,L
a02f400000G1i6uAAB,2019-01-14,2019-05-22,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3462.0,L
a02f400000Bli2HAAR,2018-08-15,2018-12-10,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3460.0,H
a02f400000iSnDnAAK,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,524.0,F
a02f400000KbGeTAAV,2019-09-23,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,332.0,
a02f400000BlhxdAAB,2018-06-12,2018-07-19,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1200.0,F
a02f4000006n7D7AAI,2017-08-16,,2019-11-18,Attending,Bachelor's,NSC,,,1199.0,L
a02f400000KbGdmAAF,2019-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3598.0,F
a02f4000006n7GVAAY,2015-09-24,2016-06-10,2019-11-18,Transferred out,Bachelor's,NSC,,,3596.0,W
a02f4000006n7GXAAY,2016-09-26,2016-12-16,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3595.0,F
a02f4000006n7GWAAY,2017-01-09,2019-03-23,2019-11-18,Withdrew,Bachelor's,NSC,,,3597.0,H
a02f4000006n7CRAAY,2016-09-22,2020-06-12,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,GLOBAL HEALTH,3512.0,Q
a02f4000006n71UAAQ,2015-08-17,2015-12-09,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3082.0,
a02f4000006n71TAAQ,2014-08-18,2014-12-19,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3081.0,
a02f400000KbGelAAF,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,1460.0,F
a02f4000006n6fIAAQ,2015-06-01,2016-05-20,2019-11-18,Withdrew,Bachelor's,NSC,,,2579.0,W
a02f4000006n6fJAAQ,2017-09-25,2019-07-05,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,2578.0,
a02f400000iSn9LAAS,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4238.0,F
a02f400000KbGbcAAF,2019-09-04,,2019-11-18,Attending,Bachelor's,NSC,,,1129.0,H
a02f400000iSnDJAA0,2020-05-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1279.0,L
a02f400000PaNQ1AAN,2020-01-27,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1296.0,W
a02f400000KbGf7AAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,1295.0,F
a02f4000006n746AAA,2015-08-17,2017-05-18,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3704.0,W
a02f400000iSnCWAA0,2020-06-29,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3703.0,F
a02f400000Bli4SAAR,2017-09-25,2018-03-30,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3702.0,L
a02f400000KbGf9AAF,2019-05-29,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2274.0,L
a02f400000Bli7IAAR,2018-08-27,,2019-11-18,Attending,Bachelor's,NSC,,,2643.0,
a02f400000KbGcrAAF,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2699.0,L
a02f400000Bli3UAAR,2018-09-24,2018-12-14,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,2698.0,F
a02f4000006n7E2AAI,2015-06-15,2015-08-06,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3654.0,F
a02f4000006n7E1AAI,2015-08-17,2016-05-25,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3653.0,W
a02f4000006n7E0AAI,2014-06-16,2014-08-09,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3652.0,W
a02f4000006n7DzAAI,2013-08-19,2013-12-18,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3651.0,
a02f400000G1i5BAAR,2016-08-17,2018-12-14,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,MARINE SCIENCE BA,3650.0,
a02f4000006n7DyAAI,2014-01-10,2015-05-15,2019-11-18,Transferred out,Bachelor's,NSC,,,3649.0,
a02f4000006n7CnAAI,2017-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,4253.0,W
a02f400000BlhyRAAR,2018-08-18,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,478.0,W
a02f400000iSnBTAA0,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3231.0,W
a02f4000006n7DpAAI,2017-08-28,2018-05-03,2019-11-18,Withdrew,Bachelor's,NSC,,,1223.0,Q
a02f4000006n77wAAA,2015-08-22,2015-12-17,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3212.0,F
a02f4000006n77uAAA,2015-09-23,2019-12-13,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ECONOMICS,3214.0,F
a02f4000006n6xLAAQ,2016-09-22,2017-03-17,2019-11-18,Withdrew,Bachelor's,NSC,,,2195.0,
a02f400000Bli73AAB,2018-01-08,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2193.0,F
a02f400000Bli74AAB,2018-09-24,2018-12-14,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2194.0,
a02f400000Bli5mAAB,2018-08-20,,2019-11-18,Attending,Bachelor's,NSC,,,733.0,
a02f400000KZCIsAAP,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,732.0,W
a02f400000Bli1oAAB,2018-08-27,,2019-11-18,Attending,Bachelor's,NSC,,,3573.0,Q
a02f4000006n6mkAAA,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,3661.0,F
a02f4000006n6tBAAQ,2013-09-03,2017-05-28,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMPUTER SCIENCE,2574.0,F
a02f400000BlhxBAAR,2018-08-13,,2019-11-18,Attending,Bachelor's,NSC,,,2573.0,F
a02f4000006n6fbAAA,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,3361.0,
a02f4000006n76mAAA,2014-09-23,2018-06-22,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,LINGUISTICS,2007.0,
a02f4000006n7JCAAY,2016-08-29,2018-05-03,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION,1959.0,F
a02f400000KbGhXAAV,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,3746.0,Q
a02f400000KbGjAAAV,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,694.0,H
a02f400000KbGjKAAV,2019-08-21,2019-08-26,2019-11-18,Transferred out,Bachelor's,NSC,,,2427.0,L
a02f400000KbGjJAAV,2019-09-23,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2426.0,
a02f400000KbGhmAAF,2019-09-05,,2019-11-18,Attending,Bachelor's,NSC,,,3084.0,
a02f400000iSn9rAAC,2020-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1968.0,L
a02f400000iSnAkAAK,2020-05-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1141.0,H
a02f4000006n6jXAAQ,2017-01-09,2017-10-03,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,2107.0,L
a02f400000KbGitAAF,2019-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2106.0,L
a02f400000iSnCqAAK,2020-08-20,2020-09-10,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,3869.0,L
a02f400000KZCGoAAP,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4181.0,F
a02f4000006n7NjAAI,2017-09-07,2019-03-25,2019-11-18,Transferred out,Bachelor's,NSC,,,4180.0,L
a02f400000Bli0oAAB,2018-08-20,,2019-11-18,Attending,Bachelor's,NSC,,,2815.0,
a02f4000006n6zWAAQ,2017-01-17,2018-05-25,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1937.0,F
a02f4000006n6zVAAQ,2014-09-24,2015-06-14,2019-11-18,Withdrew,Bachelor's,NSC,,,1936.0,W
a02f400000Bli0mAAB,2018-08-27,2018-09-21,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3582.0,Q
a02f4000006n7MxAAI,2015-08-20,2019-12-19,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,BUSINESS ADMINISTRATION/GENERAL BUSINESS,3788.0,L
a02f400000KbGjjAAF,2019-09-23,2020-06-26,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3886.0,L
a02f4000006n7MBAAY,2017-09-27,,2019-11-18,Attending,Bachelor's,NSC,,,1261.0,F
a02f400000iSn9OAAS,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,1092.0,Q
a02f400000iSnBzAAK,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,4153.0,Q
a02f4000006n7PLAAY,2016-09-17,2020-06-11,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,LEGAL STUDIES,4152.0,H
a02f400000KbGgVAAV,2019-07-01,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4151.0,L
a02f400000KbGh0AAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,3236.0,Q
a02f400000Bli0HAAR,2018-06-25,,2019-11-18,Attending,Bachelor's,NSC,,,1335.0,W
a02f4000006n7A9AAI,2016-09-21,2017-09-15,2019-11-18,Transferred out,Bachelor's,NSC,,,1334.0,Q
a02f400000Bli0IAAR,2018-01-13,2018-05-16,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1333.0,L
a02f4000006n7AAAAY,2016-08-20,2017-05-17,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1332.0,F
a02f400000PaNNiAAN,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3745.0,F
a02f4000006n7OgAAI,2017-08-16,2018-12-10,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3744.0,
a02f400000iSn9XAAS,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,1344.0,L
a02f4000006n70lAAA,2017-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,1488.0,F
a02f400000iSnG7AAK,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,4117.0,W
a02f4000006n7Q3AAI,2016-08-22,2016-10-27,2019-11-18,Withdrew,Bachelor's,NSC,,,230.0,Q
a02f400000G1i54AAB,2019-01-22,2019-05-16,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,231.0,W
a02f4000006n6yoAAA,2017-08-23,2017-12-11,2019-11-18,Withdrew,Bachelor's,NSC,,,4061.0,H
a02f400000PaNQIAA3,2020-01-16,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4060.0,W
a02f400000Bli3PAAR,2018-06-11,2019-05-24,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,4059.0,W
a02f400000KbGjXAAV,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1726.0,
a02f400000PaNNlAAN,2020-01-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1725.0,L
a02f400000Bli0tAAB,2018-08-20,2019-05-17,2019-11-18,Transferred out,Bachelor's,NSC,,,1727.0,Q
a02f400000KZCINAA5,2019-06-17,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,472.0,F
a02f400000Bli4MAAR,2018-01-16,2018-05-20,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,471.0,
a02f4000006n6hxAAA,2014-08-25,2017-04-05,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,470.0,Q
a02f400000Bli4LAAR,2018-08-21,2020-05-22,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,PSYCHOLOGY,469.0,Q
a02f4000006n6hwAAA,2014-06-23,2014-09-07,2019-11-18,Transferred out,Bachelor's,NSC,,,468.0,
a02f400000Bli58AAB,2018-08-27,2019-05-16,2019-11-18,Withdrew,Bachelor's,NSC,,,3687.0,
a02f4000006n7KmAAI,2015-09-23,2019-06-15,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION AND MEDIA,2490.0,W
a02f400000KbGfLAAV,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,2713.0,
a02f400000iSn9CAAS,2020-06-16,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2712.0,Q
a02f400000iSnDtAAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,455.0,Q
a02f400000KbGhaAAF,2019-09-21,,2019-11-18,Attending,Bachelor's,NSC,,,454.0,Q
a02f400000iSnD2AAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4197.0,L
a02f400000KbGZCAA3,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,4196.0,L
a02f4000006n7CLAAY,2017-09-27,,2019-11-18,Attending,Bachelor's,NSC,,,2343.0,H
a02f400000PaNOqAAN,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2786.0,F
a02f4000006n7I5AAI,2014-09-27,2016-04-04,2019-11-18,Withdrew,Bachelor's,NSC,,,1154.0,
a02f4000006n7G5AAI,2013-08-21,2014-05-13,2019-11-18,Transferred out,Bachelor's,NSC,,,3791.0,Q
a02f4000006n7G3AAI,2014-08-18,2014-12-19,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3790.0,F
a02f4000006n7G4AAI,2016-09-26,2017-06-30,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3789.0,L
a02f4000006n7GxAAI,2016-09-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3057.0,Q
a02f4000006n7EdAAI,2015-08-24,2018-05-11,2019-11-18,Withdrew,Bachelor's,NSC,,,3178.0,W
a02f400000iSnH1AAK,2020-06-29,2020-07-05,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3176.0,L
a02f400000KbGdXAAV,2019-09-23,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3175.0,L
a02f4000006n6xFAAQ,2017-01-23,2017-12-15,2019-11-18,Withdrew,Bachelor's,NSC,,,2301.0,W
a02f400000KbGfqAAF,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,2480.0,F
a02f4000006n6zXAAQ,2017-09-05,2019-05-24,2019-11-18,Graduated,Associate's,NSC,ASSOCIATE OF ARTS-TRANSFER,AA-T PSYCHOLOGY,2492.0,F
a02f400000PaNNPAA3,2020-01-14,,2019-11-18,Attending,Bachelor's,NSC,,,2491.0,H
a02f4000006n70YAAQ,2016-08-24,2016-12-12,2019-11-18,Withdrew,Bachelor's,NSC,,,2736.0,
a02f4000006n6hrAAA,2013-09-25,2016-12-09,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION,394.0,W
a02f400000Blhy2AAB,2018-08-21,2019-12-19,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ENGLISH,1432.0,L
a02f4000006n6sTAAQ,2015-08-20,2016-05-16,2019-11-18,Transferred out,Bachelor's,NSC,,,1431.0,Q
a02f4000006n6sRAAQ,2016-08-29,2018-05-25,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1430.0,H
a02f400000iSnDXAA0,2020-09-09,,2019-11-18,Attending,Bachelor's,NSC,,,3150.0,L
a02f400000PaNQgAAN,2020-01-23,,2019-11-18,Attending,Bachelor's,NSC,,,1756.0,F
a02f400000Bli8dAAB,2018-01-16,2018-08-04,2019-11-18,Graduated,Associate's,NSC,ASSOCIATE IN ARTS-TRANSFER,ECONOMICS:,1755.0,Q
a02f4000006n7BmAAI,2014-08-18,2017-12-16,2019-11-18,Graduated,Associate's,NSC,ASSOCIATE IN ARTS,ECONOMICS,1754.0,F
a02f400000iSnERAA0,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2904.0,
a02f4000006n6jUAAQ,2017-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,2903.0,
a02f400000KbGYjAAN,2019-08-19,,2019-11-18,Attending,Bachelor's,NSC,,,3319.0,
a02f4000006n6yNAAQ,2017-06-01,,2019-11-18,Attending,Bachelor's,NSC,,,331.0,L
a02f400000KbGfcAAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,3386.0,F
a02f4000006n7MbAAI,2015-06-08,2016-12-14,2019-11-18,Transferred out,Bachelor's,NSC,,,3863.0,L
a02f400000KbGhpAAF,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3731.0,F
a02f400000Bli8WAAR,2018-09-04,2019-05-19,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,PHYSICS,3730.0,F
a02f4000006n79JAAQ,2016-08-30,2017-12-16,2019-11-18,Transferred out,Bachelor's,NSC,,,3729.0,L
a02f4000006n79IAAQ,2014-09-02,2016-02-26,2019-11-18,Withdrew,Bachelor's,NSC,,,3728.0,W
a02f400000Bli8XAAR,2018-01-16,2018-05-24,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3727.0,W
a02f4000006n79KAAQ,2017-06-12,2017-07-20,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3726.0,L
a02f400000PaNOIAA3,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3725.0,W
a02f400000KZCHkAAP,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3724.0,W
a02f400000KbGgqAAF,2019-09-26,,2019-11-18,Attending,Bachelor's,NSC,,,2657.0,
a02f400000KbGgsAAF,2019-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,4131.0,F
a02f400000iSnCvAAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4130.0,Q
a02f4000006n74zAAA,2015-08-20,2019-12-19,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION STUDIES,2630.0,H
a02f400000Bli6cAAB,2018-09-22,,2019-11-18,Attending,Bachelor's,NSC,,,3117.0,L
a02f4000006n74gAAA,2015-09-19,2017-12-15,2019-11-18,Transferred out,Bachelor's,NSC,,,3116.0,Q
a02f400000Bli6dAAB,2018-01-08,2018-06-29,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3115.0,L
a02f400000iSnDoAAK,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3220.0,L
a02f400000KbGajAAF,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,1976.0,L
a02f400000KbGbiAAF,2019-08-22,,2019-11-18,Attending,Bachelor's,NSC,,,2296.0,L
a02f4000006n6jRAAQ,2016-09-21,2017-06-11,2019-11-18,Withdrew,Bachelor's,NSC,,,1312.0,L
a02f400000iSnFTAA0,2020-08-20,,2019-11-18,Attending,Bachelor's,NSC,,,2258.0,H
a02f400000Bli8uAAB,2018-09-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,681.0,L
a02f400000Bli3mAAB,2018-05-29,2018-08-15,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3572.0,F
a02f400000Bli3lAAB,2018-09-04,2018-12-20,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3571.0,F
a02f400000PaNQxAAN,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3787.0,
a02f400000KZCHJAA5,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3786.0,
a02f400000Blhx4AAB,2018-06-11,2018-07-19,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3785.0,
a02f400000iSnF1AAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3784.0,F
a02f4000006n7GSAAY,2017-08-16,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3783.0,F
a02f400000KbGfIAAV,2019-07-01,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3782.0,L
a02f4000006n6skAAA,2013-09-23,2013-09-30,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,158.0,H
a02f400000KbGcTAAV,2019-08-20,,2019-11-18,Attending,Bachelor's,NSC,,,3781.0,
a02f400000KbGcoAAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,430.0,Q
a02f4000006n6wcAAA,2016-08-24,2018-12-17,2019-11-18,Withdrew,Bachelor's,NSC,,,429.0,W
a02f400000KbGdrAAF,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,1176.0,F
a02f400000KbGdsAAF,2019-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1175.0,L
a02f4000006n6wqAAA,2015-08-25,2015-12-18,2019-11-18,Withdrew,Bachelor's,NSC,,,3519.0,L
a02f400000KbGaSAAV,2019-09-26,,2019-11-18,Attending,Bachelor's,NSC,,,3518.0,L
a02f4000006n6wpAAA,2016-06-06,2019-06-28,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3517.0,Q
a02f400000KbGigAAF,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,4118.0,W
a02f4000006n7PVAAY,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,3845.0,
a02f4000006n7NRAAY,2015-09-24,2019-03-22,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ENGLISH,668.0,
a02f400000iSnHJAA0,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1137.0,H
a02f400000Blhx8AAB,2018-09-24,2019-03-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1136.0,W
a02f400000BlhyEAAR,2018-09-24,,2019-11-18,Attending,Bachelor's,NSC,,,3345.0,H
a02f400000KZCHCAA5,2019-04-08,2019-09-27,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3344.0,
a02f4000006n7JgAAI,2017-08-23,2017-12-11,2019-11-18,Withdrew,Bachelor's,NSC,,,1617.0,W
a02f400000KbGcNAAV,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,649.0,H
a02f400000iSn9fAAC,2020-01-25,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,648.0,F
a02f400000iSnDBAA0,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,2986.0,Q
a02f4000006n70HAAQ,2016-09-19,2020-06-12,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,BIOLOGY,2802.0,L
a02f400000iSn9uAAC,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2801.0,Q
a02f4000006n6lNAAQ,2015-09-01,,2019-11-18,Attending,Bachelor's,NSC,,,2757.0,W
a02f400000KbGfRAAV,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,68.0,F
